T=2.10000e+00  B=0.00000e+00  ns=16384  E_exact=-1.66208e+00  M_exact=8.68748e-01
     E           M        
--------------------------
-1.69604e+00  8.90137e-01
-1.67993e+00  8.81104e-01
-1.65063e+00  8.57056e-01
-1.65576e+00  8.59985e-01
-1.64941e+00  8.63525e-01
-1.68408e+00  8.83789e-01
-1.67285e+00  8.81470e-01
-1.66382e+00  8.83789e-01
-1.66089e+00  8.75732e-01
-1.66309e+00  8.75000e-01
-1.66504e+00  8.74756e-01
-1.70728e+00  8.98315e-01
-1.65625e+00  8.77197e-01
-1.67139e+00  8.70605e-01
-1.68555e+00  8.86108e-01
-1.66919e+00  8.59009e-01
-1.63892e+00  8.54248e-01
-1.65820e+00  8.70605e-01
-1.64478e+00  8.66699e-01
-1.65259e+00  8.75000e-01
-1.65723e+00  8.75366e-01
-1.70093e+00  8.92212e-01
-1.64233e+00  8.70117e-01
-1.67944e+00  8.80005e-01
-1.66895e+00  8.79028e-01
-1.68188e+00  8.74146e-01
-1.65771e+00  8.70728e-01
-1.63940e+00  8.64746e-01
-1.67651e+00  8.73291e-01
-1.67236e+00  8.70972e-01
-1.66309e+00  8.74023e-01
-1.67725e+00  8.78540e-01
-1.66577e+00  8.77808e-01
-1.65918e+00  8.66821e-01
-1.66992e+00  8.77686e-01
-1.68115e+00  8.74390e-01
-1.69238e+00  8.84766e-01
-1.65112e+00  8.68652e-01
-1.67676e+00  8.76587e-01
-1.65625e+00  8.69751e-01
-1.66968e+00  8.72925e-01
-1.65234e+00  8.63525e-01
-1.66870e+00  8.69019e-01
-1.61475e+00  8.45337e-01
-1.65894e+00  8.61450e-01
-1.66992e+00  8.72314e-01
-1.65991e+00  8.78540e-01
-1.65234e+00  8.59985e-01
-1.65308e+00  8.65967e-01
-1.63574e+00  8.59375e-01
-1.66138e+00  8.67554e-01
-1.64575e+00  8.67310e-01
-1.69458e+00  8.87817e-01
-1.63867e+00  8.65112e-01
-1.67212e+00  8.80615e-01
-1.64209e+00  8.56445e-01
-1.68433e+00  8.79639e-01
-1.67358e+00  8.65967e-01
-1.66772e+00  8.61694e-01
-1.65137e+00  8.77075e-01
-1.64624e+00  8.56812e-01
-1.64648e+00  8.63281e-01
-1.64404e+00  8.55835e-01
-1.64746e+00  8.60596e-01
-1.67529e+00  8.85132e-01
-1.65552e+00  8.67554e-01
-1.67407e+00  8.73291e-01
-1.65503e+00  8.65967e-01
-1.66016e+00  8.69507e-01
-1.69263e+00  8.86230e-01
-1.70361e+00  8.90137e-01
-1.65625e+00  8.68896e-01
-1.65356e+00  8.67920e-01
-1.65894e+00  8.72681e-01
-1.65430e+00  8.68408e-01
-1.65796e+00  8.69751e-01
-1.67993e+00  8.83545e-01
-1.69702e+00  8.95386e-01
-1.68799e+00  8.85376e-01
-1.67334e+00  8.81958e-01
-1.65405e+00  8.59253e-01
-1.68213e+00  8.81714e-01
-1.69019e+00  8.83545e-01
-1.68726e+00  8.77075e-01
-1.65430e+00  8.59375e-01
-1.65723e+00  8.71582e-01
-1.69385e+00  8.89771e-01
-1.68628e+00  8.83667e-01
-1.65479e+00  8.69629e-01
-1.64819e+00  8.62061e-01
-1.66846e+00  8.74023e-01
-1.64551e+00  8.54248e-01
-1.67944e+00  8.80859e-01
-1.69287e+00  8.86475e-01
-1.67578e+00  8.79272e-01
-1.65771e+00  8.67065e-01
-1.66016e+00  8.76343e-01
-1.67139e+00  8.75000e-01
-1.65747e+00  8.66577e-01
-1.66406e+00  8.70117e-01
-1.64941e+00  8.51807e-01
-1.63013e+00  8.53394e-01
-1.63330e+00  8.52661e-01
-1.65747e+00  8.68286e-01
-1.67847e+00  8.77563e-01
-1.64990e+00  8.61328e-01
-1.66504e+00  8.71338e-01
-1.66968e+00  8.80493e-01
-1.68628e+00  8.90259e-01
-1.63135e+00  8.52295e-01
-1.65527e+00  8.67188e-01
-1.67578e+00  8.75000e-01
-1.62012e+00  8.48755e-01
-1.66040e+00  8.63525e-01
-1.68848e+00  8.87939e-01
-1.66089e+00  8.69263e-01
-1.63745e+00  8.61328e-01
-1.67407e+00  8.75854e-01
-1.67261e+00  8.70361e-01
-1.66724e+00  8.73779e-01
-1.66162e+00  8.68774e-01
-1.66724e+00  8.62061e-01
-1.66138e+00  8.63770e-01
-1.67407e+00  8.68896e-01
-1.66943e+00  8.74390e-01
-1.66626e+00  8.70483e-01
-1.66309e+00  8.67676e-01
-1.67407e+00  8.73657e-01
-1.64795e+00  8.61572e-01
-1.65259e+00  8.58887e-01
-1.65649e+00  8.69263e-01
-1.65942e+00  8.70483e-01
-1.66943e+00  8.78418e-01
-1.64014e+00  8.67676e-01
-1.66138e+00  8.65845e-01
-1.64575e+00  8.59619e-01
-1.64136e+00  8.62915e-01
-1.66260e+00  8.63525e-01
-1.63672e+00  8.59863e-01
-1.63525e+00  8.43140e-01
-1.65674e+00  8.67920e-01
-1.66479e+00  8.66577e-01
-1.66431e+00  8.73047e-01
-1.65210e+00  8.68652e-01
-1.66797e+00  8.73169e-01
-1.66235e+00  8.69263e-01
-1.68188e+00  8.83911e-01
-1.66479e+00  8.73657e-01
-1.66943e+00  8.75977e-01
-1.66821e+00  8.75488e-01
-1.66162e+00  8.80737e-01
-1.67358e+00  8.77319e-01
-1.64429e+00  8.60840e-01
-1.65210e+00  8.52173e-01
-1.66748e+00  8.69873e-01
-1.63330e+00  8.45947e-01
-1.61572e+00  8.29224e-01
-1.66113e+00  8.69141e-01
-1.67334e+00  8.80859e-01
-1.64771e+00  8.65234e-01
-1.65747e+00  8.66333e-01
-1.67310e+00  8.74268e-01
-1.68042e+00  8.64746e-01
-1.64233e+00  8.62061e-01
-1.64600e+00  8.66455e-01
-1.65869e+00  8.62183e-01
-1.65454e+00  8.65479e-01
-1.68408e+00  8.81104e-01
-1.67920e+00  8.81592e-01
-1.66382e+00  8.76221e-01
-1.65820e+00  8.61084e-01
-1.66870e+00  8.75732e-01
-1.66895e+00  8.69141e-01
-1.67871e+00  8.76709e-01
-1.68555e+00  8.81226e-01
-1.63916e+00  8.60596e-01
-1.65259e+00  8.73779e-01
-1.65332e+00  8.64380e-01
-1.65894e+00  8.70850e-01
-1.67944e+00  8.75366e-01
-1.65405e+00  8.68530e-01
-1.68628e+00  8.79639e-01
-1.65283e+00  8.68774e-01
-1.67505e+00  8.78052e-01
-1.65698e+00  8.65234e-01
-1.68945e+00  8.88916e-01
-1.67480e+00  8.80493e-01
-1.66455e+00  8.74390e-01
-1.65674e+00  8.77808e-01
-1.63672e+00  8.57178e-01
-1.63403e+00  8.60596e-01
-1.68604e+00  8.80859e-01
-1.65869e+00  8.63892e-01
-1.65894e+00  8.67798e-01
-1.65674e+00  8.64868e-01
-1.66040e+00  8.64502e-01
-1.66626e+00  8.71582e-01
-1.66919e+00  8.79761e-01
-1.68506e+00  8.88306e-01
-1.66382e+00  8.69263e-01
-1.65088e+00  8.63281e-01
-1.66870e+00  8.68042e-01
-1.65112e+00  8.66943e-01
-1.71704e+00  8.94165e-01
-1.64478e+00  8.63403e-01
-1.67773e+00  8.75122e-01
-1.65942e+00  8.65112e-01
-1.63306e+00  8.51562e-01
-1.68335e+00  8.85620e-01
-1.67700e+00  8.78052e-01
-1.66577e+00  8.74146e-01
-1.63721e+00  8.57788e-01
-1.65430e+00  8.61572e-01
-1.66626e+00  8.76221e-01
-1.66235e+00  8.74268e-01
-1.66382e+00  8.76099e-01
-1.64526e+00  8.61328e-01
-1.67310e+00  8.82080e-01
-1.68823e+00  8.81470e-01
-1.65698e+00  8.64624e-01
-1.66138e+00  8.72925e-01
-1.64990e+00  8.47412e-01
-1.65698e+00  8.50708e-01
-1.65747e+00  8.68164e-01
-1.65894e+00  8.61694e-01
-1.65723e+00  8.70972e-01
-1.66992e+00  8.64258e-01
-1.64136e+00  8.59863e-01
-1.66772e+00  8.71826e-01
-1.65723e+00  8.62915e-01
-1.63379e+00  8.36426e-01
-1.67603e+00  8.69019e-01
-1.66675e+00  8.72803e-01
-1.64429e+00  8.53149e-01
-1.66211e+00  8.66211e-01
-1.67725e+00  8.71582e-01
-1.66187e+00  8.75122e-01
-1.66870e+00  8.58276e-01
-1.65210e+00  8.58398e-01
-1.65820e+00  8.66333e-01
-1.66846e+00  8.68286e-01
-1.66748e+00  8.69385e-01
-1.64111e+00  8.52661e-01
-1.64307e+00  8.60229e-01
-1.65332e+00  8.72681e-01
-1.66895e+00  8.68652e-01
-1.64307e+00  8.54736e-01
-1.67700e+00  8.74390e-01
-1.66528e+00  8.75854e-01
-1.67578e+00  8.76221e-01
-1.63013e+00  8.51685e-01
-1.66309e+00  8.75122e-01
-1.65942e+00  8.60962e-01
-1.67163e+00  8.71704e-01
-1.64648e+00  8.64136e-01
-1.66602e+00  8.76953e-01
-1.67212e+00  8.70728e-01
-1.67969e+00  8.80737e-01
-1.65454e+00  8.70239e-01
-1.65039e+00  8.60718e-01
-1.65625e+00  8.63281e-01
-1.64941e+00  8.64502e-01
-1.66479e+00  8.71460e-01
-1.65625e+00  8.66821e-01
-1.66675e+00  8.75000e-01
-1.64282e+00  8.63770e-01
-1.64868e+00  8.56323e-01
-1.66919e+00  8.79150e-01
-1.66016e+00  8.71094e-01
-1.63354e+00  8.41797e-01
-1.64722e+00  8.60596e-01
-1.65430e+00  8.58887e-01
-1.68994e+00  8.88184e-01
-1.62915e+00  8.39233e-01
-1.64160e+00  8.55347e-01
-1.67700e+00  8.74268e-01
-1.67383e+00  8.72314e-01
-1.66870e+00  8.70483e-01
-1.65283e+00  8.62061e-01
-1.65869e+00  8.70850e-01
-1.65283e+00  8.66577e-01
-1.66895e+00  8.62915e-01
-1.67139e+00  8.76221e-01
-1.64307e+00  8.59009e-01
-1.62842e+00  8.46924e-01
-1.67065e+00  8.78662e-01
-1.65039e+00  8.66455e-01
-1.67944e+00  8.78540e-01
-1.69922e+00  8.86841e-01
-1.67798e+00  8.83179e-01
-1.65430e+00  8.62915e-01
-1.67969e+00  8.79517e-01
-1.64258e+00  8.52539e-01
-1.64624e+00  8.65845e-01
-1.67212e+00  8.66211e-01
-1.68311e+00  8.79517e-01
-1.64771e+00  8.62183e-01
-1.69214e+00  8.87207e-01
-1.64673e+00  8.63892e-01
-1.67017e+00  8.80981e-01
-1.66675e+00  8.72070e-01
-1.67407e+00  8.66333e-01
-1.66602e+00  8.77319e-01
-1.67236e+00  8.67920e-01
-1.66431e+00  8.69385e-01
-1.64136e+00  8.62305e-01
-1.66577e+00  8.78906e-01
-1.67261e+00  8.68896e-01
-1.67358e+00  8.76831e-01
-1.66455e+00  8.71216e-01
-1.67529e+00  8.77686e-01
-1.65918e+00  8.59497e-01
-1.66748e+00  8.69629e-01
-1.68384e+00  8.78418e-01
-1.68237e+00  8.79150e-01
-1.65991e+00  8.59619e-01
-1.65747e+00  8.66943e-01
-1.65430e+00  8.65234e-01
-1.63428e+00  8.53516e-01
-1.67529e+00  8.79272e-01
-1.66406e+00  8.69629e-01
-1.65747e+00  8.68164e-01
-1.65430e+00  8.69873e-01
-1.66431e+00  8.71704e-01
-1.64453e+00  8.48877e-01
-1.64771e+00  8.52295e-01
-1.65918e+00  8.58398e-01
-1.66772e+00  8.60229e-01
-1.66553e+00  8.63159e-01
-1.65430e+00  8.72925e-01
-1.67798e+00  8.86353e-01
-1.64429e+00  8.68896e-01
-1.67114e+00  8.77808e-01
-1.66626e+00  8.76099e-01
-1.69238e+00  8.87085e-01
-1.67969e+00  8.79883e-01
-1.64844e+00  8.61084e-01
-1.65942e+00  8.66943e-01
-1.64160e+00  8.60840e-01
-1.66431e+00  8.67188e-01
-1.67383e+00  8.81348e-01
-1.65747e+00  8.71826e-01
-1.63843e+00  8.59253e-01
-1.66479e+00  8.66211e-01
-1.63794e+00  8.56567e-01
-1.67700e+00  8.77197e-01
-1.63623e+00  8.51562e-01
-1.63770e+00  8.45581e-01
-1.66748e+00  8.54004e-01
-1.64941e+00  8.50220e-01
-1.63916e+00  8.56323e-01
-1.62842e+00  8.59375e-01
-1.67188e+00  8.74268e-01
-1.71387e+00  9.02588e-01
-1.65894e+00  8.74390e-01
-1.64990e+00  8.60107e-01
-1.67188e+00  8.70850e-01
-1.66919e+00  8.67920e-01
-1.63135e+00  8.56445e-01
-1.66821e+00  8.69141e-01
-1.67041e+00  8.76221e-01
-1.66992e+00  8.68164e-01
-1.65649e+00  8.74878e-01
-1.64771e+00  8.52539e-01
-1.67236e+00  8.75488e-01
-1.67407e+00  8.81470e-01
-1.66016e+00  8.75244e-01
-1.66675e+00  8.76831e-01
-1.66016e+00  8.71094e-01
-1.69238e+00  8.88306e-01
-1.63892e+00  8.49121e-01
-1.69067e+00  8.92212e-01
-1.69507e+00  8.84521e-01
-1.65894e+00  8.73047e-01
-1.66675e+00  8.71338e-01
-1.65649e+00  8.59619e-01
-1.69287e+00  8.80249e-01
-1.64746e+00  8.67554e-01
-1.68628e+00  8.78052e-01
-1.64795e+00  8.64136e-01
-1.66675e+00  8.64868e-01
-1.65039e+00  8.63770e-01
-1.64209e+00  8.46680e-01
-1.64575e+00  8.54980e-01
-1.67773e+00  8.82690e-01
-1.65210e+00  8.59863e-01
-1.65771e+00  8.65479e-01
-1.66870e+00  8.81714e-01
-1.62549e+00  8.47656e-01
-1.67847e+00  8.81592e-01
-1.66602e+00  8.76099e-01
-1.66602e+00  8.76709e-01
-1.66016e+00  8.61084e-01
-1.64062e+00  8.37524e-01
-1.65479e+00  8.52539e-01
-1.66089e+00  8.63647e-01
-1.69067e+00  8.89160e-01
-1.65649e+00  8.72437e-01
-1.65698e+00  8.65723e-01
-1.64404e+00  8.55469e-01
-1.66089e+00  8.78174e-01
-1.65942e+00  8.68042e-01
-1.64917e+00  8.55591e-01
-1.65698e+00  8.58276e-01
-1.64331e+00  8.61450e-01
-1.64160e+00  8.64380e-01
-1.68311e+00  8.81470e-01
-1.67627e+00  8.77808e-01
-1.63403e+00  8.54126e-01
-1.66577e+00  8.74634e-01
-1.66040e+00  8.62061e-01
-1.66211e+00  8.82324e-01
-1.66943e+00  8.75122e-01
-1.68164e+00  8.88428e-01
-1.66211e+00  8.66943e-01
-1.67261e+00  8.85132e-01
-1.64819e+00  8.65356e-01
-1.68530e+00  8.91235e-01
-1.68408e+00  8.82446e-01
-1.69971e+00  8.91846e-01
-1.66895e+00  8.75000e-01
-1.64551e+00  8.71216e-01
-1.64136e+00  8.59985e-01
-1.66260e+00  8.64502e-01
-1.66650e+00  8.66211e-01
-1.65283e+00  8.71094e-01
-1.68188e+00  8.85986e-01
-1.64868e+00  8.56445e-01
-1.63501e+00  8.57788e-01
-1.64990e+00  8.59009e-01
-1.65112e+00  8.60352e-01
-1.65112e+00  8.61450e-01
-1.66650e+00  8.76099e-01
-1.67114e+00  8.76221e-01
-1.64990e+00  8.65112e-01
-1.66479e+00  8.72803e-01
-1.67578e+00  8.78662e-01
-1.66089e+00  8.73291e-01
-1.67578e+00  8.75610e-01
-1.67407e+00  8.78418e-01
-1.70459e+00  8.94165e-01
-1.65771e+00  8.71338e-01
-1.67456e+00  8.77075e-01
-1.68066e+00  8.72314e-01
-1.64746e+00  8.58765e-01
-1.67920e+00  8.68164e-01
-1.66895e+00  8.70972e-01
-1.70068e+00  8.87573e-01
-1.68628e+00  8.72437e-01
-1.64209e+00  8.58887e-01
-1.67261e+00  8.73657e-01
-1.65918e+00  8.60718e-01
-1.64771e+00  8.61694e-01
-1.67627e+00  8.79883e-01
-1.66553e+00  8.76221e-01
-1.64307e+00  8.45093e-01
-1.64380e+00  8.70728e-01
-1.68115e+00  8.78052e-01
-1.67554e+00  8.74878e-01
-1.66235e+00  8.75366e-01
-1.65112e+00  8.68774e-01
-1.64746e+00  8.59253e-01
-1.66333e+00  8.73291e-01
-1.66626e+00  8.77686e-01
-1.67651e+00  8.77319e-01
-1.68286e+00  8.71948e-01
-1.66431e+00  8.70605e-01
-1.68066e+00  8.81104e-01
-1.63745e+00  8.59619e-01
-1.64355e+00  8.64014e-01
-1.65015e+00  8.57056e-01
-1.67969e+00  8.76709e-01
-1.65527e+00  8.68408e-01
-1.66333e+00  8.72070e-01
-1.67236e+00  8.79272e-01
-1.66040e+00  8.71826e-01
-1.68164e+00  8.83057e-01
-1.63965e+00  8.61084e-01
-1.67700e+00  8.71704e-01
-1.66650e+00  8.69873e-01
-1.65210e+00  8.62183e-01
-1.62988e+00  8.45947e-01
-1.64258e+00  8.52783e-01
-1.66162e+00  8.65234e-01
-1.66968e+00  8.68408e-01
-1.66309e+00  8.75122e-01
-1.67236e+00  8.84033e-01
-1.67188e+00  8.77686e-01
-1.64551e+00  8.63281e-01
-1.66064e+00  8.66089e-01
-1.64087e+00  8.54736e-01
-1.67456e+00  8.78174e-01
-1.66162e+00  8.75122e-01
-1.65918e+00  8.65845e-01
-1.65308e+00  8.67554e-01
-1.66724e+00  8.77808e-01
-1.64478e+00  8.42529e-01
-1.65161e+00  8.53271e-01
-1.64941e+00  8.64014e-01
-1.66479e+00  8.64746e-01
-1.65894e+00  8.61572e-01
-1.65967e+00  8.52661e-01
-1.66724e+00  8.61084e-01
-1.69702e+00  8.85742e-01
-1.65015e+00  8.67920e-01
-1.67847e+00  8.80249e-01
-1.65015e+00  8.62183e-01
-1.67065e+00  8.77075e-01
-1.68506e+00  8.79028e-01
-1.67407e+00  8.69995e-01
-1.65649e+00  8.71338e-01
-1.68408e+00  8.80737e-01
-1.66260e+00  8.64502e-01
-1.65186e+00  8.56079e-01
-1.67236e+00  8.81836e-01
-1.65674e+00  8.68164e-01
-1.66162e+00  8.72925e-01
-1.66626e+00  8.59131e-01
-1.64453e+00  8.43384e-01
-1.65015e+00  8.53760e-01
-1.64966e+00  8.56445e-01
-1.67627e+00  8.70361e-01
