T=2.30000e+00  B=0.00000e+00  ns=16384  E_exact=-1.34287e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.35840e+00  -3.27148e-02
-1.33301e+00  -4.39453e-03
-1.35840e+00  -6.95801e-03
-1.35205e+00  1.87988e-02
-1.34082e+00  -5.07812e-02
-1.35425e+00  -8.83789e-02
-1.36841e+00  -7.05566e-02
-1.30273e+00  -1.06934e-01
-1.37231e+00  -2.21802e-01
-1.34204e+00  -2.22656e-01
-1.34546e+00  -2.83447e-01
-1.39600e+00  -2.62695e-01
-1.35620e+00  -2.99805e-01
-1.36011e+00  -2.86743e-01
-1.35669e+00  -3.10181e-01
-1.37476e+00  -3.55713e-01
-1.34131e+00  -3.81104e-01
-1.35034e+00  -4.24805e-01
-1.33667e+00  -4.16504e-01
-1.35449e+00  -4.27612e-01
-1.32251e+00  -4.06006e-01
-1.38892e+00  -4.16016e-01
-1.36084e+00  -4.65210e-01
-1.38184e+00  -4.38843e-01
-1.39429e+00  -4.71436e-01
-1.41333e+00  -4.54468e-01
-1.34839e+00  -4.53613e-01
-1.36206e+00  -4.45679e-01
-1.35620e+00  -4.30298e-01
-1.37061e+00  -4.24683e-01
-1.34399e+00  -4.06616e-01
-1.36841e+00  -4.33594e-01
-1.36621e+00  -4.74976e-01
-1.33618e+00  -4.29810e-01
-1.35498e+00  -4.35181e-01
-1.35840e+00  -4.62524e-01
-1.38477e+00  -4.25659e-01
-1.36450e+00  -4.12842e-01
-1.36157e+00  -4.20532e-01
-1.33423e+00  -3.66089e-01
-1.36450e+00  -3.36182e-01
-1.33765e+00  -3.27759e-01
-1.36401e+00  -3.60352e-01
-1.32861e+00  -3.33740e-01
-1.36475e+00  -3.61816e-01
-1.37329e+00  -3.75854e-01
-1.33447e+00  -3.83545e-01
-1.34644e+00  -4.08569e-01
-1.36816e+00  -3.78052e-01
-1.37695e+00  -4.45435e-01
-1.39648e+00  -4.33960e-01
-1.36401e+00  -4.43237e-01
-1.36865e+00  -4.17480e-01
-1.30249e+00  -3.29102e-01
-1.35889e+00  -3.63403e-01
-1.38403e+00  -3.78052e-01
-1.39966e+00  -4.01001e-01
-1.37964e+00  -4.45312e-01
-1.35645e+00  -4.89014e-01
-1.36719e+00  -4.73511e-01
-1.35986e+00  -4.83643e-01
-1.34180e+00  -5.02930e-01
-1.38818e+00  -5.64575e-01
-1.38379e+00  -5.99487e-01
-1.39575e+00  -5.65918e-01
-1.38721e+00  -4.88892e-01
-1.41260e+00  -5.14160e-01
-1.34839e+00  -4.59473e-01
-1.35718e+00  -4.36035e-01
-1.35596e+00  -4.16992e-01
-1.37988e+00  -4.08691e-01
-1.32471e+00  -3.44482e-01
-1.35498e+00  -3.18481e-01
-1.35156e+00  -3.58276e-01
-1.34741e+00  -3.81836e-01
-1.34814e+00  -4.42749e-01
-1.36426e+00  -4.73389e-01
-1.42383e+00  -5.83618e-01
-1.39282e+00  -5.42847e-01
-1.40576e+00  -5.26978e-01
-1.36743e+00  -4.79004e-01
-1.39307e+00  -4.98535e-01
-1.40503e+00  -5.29419e-01
-1.39258e+00  -5.51880e-01
-1.37720e+00  -5.34546e-01
-1.36206e+00  -4.80225e-01
-1.35767e+00  -4.98535e-01
-1.39185e+00  -5.49561e-01
-1.35938e+00  -5.36255e-01
-1.36816e+00  -5.18066e-01
-1.36108e+00  -5.15991e-01
-1.37964e+00  -5.41870e-01
-1.36572e+00  -5.08423e-01
-1.39648e+00  -5.45654e-01
-1.39819e+00  -5.56274e-01
-1.40527e+00  -5.99854e-01
-1.37427e+00  -5.92163e-01
-1.40405e+00  -6.26587e-01
-1.37451e+00  -5.94482e-01
-1.41675e+00  -6.06689e-01
-1.38989e+00  -6.20239e-01
-1.34619e+00  -5.94849e-01
-1.36841e+00  -6.15967e-01
-1.40771e+00  -6.09131e-01
-1.42578e+00  -6.54541e-01
-1.42920e+00  -6.78955e-01
-1.40186e+00  -6.37207e-01
-1.42603e+00  -6.26465e-01
-1.36914e+00  -5.45654e-01
-1.36548e+00  -5.54810e-01
-1.36255e+00  -5.43823e-01
-1.39746e+00  -5.52124e-01
-1.35278e+00  -5.18799e-01
-1.36084e+00  -4.80713e-01
-1.36963e+00  -5.02930e-01
-1.37109e+00  -5.33813e-01
-1.34863e+00  -5.37354e-01
-1.37646e+00  -5.27222e-01
-1.37451e+00  -5.17700e-01
-1.37061e+00  -5.73120e-01
-1.36865e+00  -5.44800e-01
-1.39624e+00  -5.67383e-01
-1.41797e+00  -5.74341e-01
-1.38232e+00  -5.65430e-01
-1.36353e+00  -5.19775e-01
-1.36816e+00  -5.00610e-01
-1.37476e+00  -4.64966e-01
-1.34351e+00  -4.69116e-01
-1.34229e+00  -4.76074e-01
-1.37793e+00  -4.94629e-01
-1.37158e+00  -5.10986e-01
-1.38867e+00  -5.47241e-01
-1.38794e+00  -5.81055e-01
-1.35767e+00  -5.92285e-01
-1.38550e+00  -5.92407e-01
-1.38452e+00  -6.10474e-01
-1.33813e+00  -5.67505e-01
-1.38989e+00  -5.93628e-01
-1.34814e+00  -5.52246e-01
-1.34326e+00  -4.68384e-01
-1.31421e+00  -4.25293e-01
-1.32373e+00  -3.44971e-01
-1.32471e+00  -4.18335e-01
-1.30908e+00  -4.41650e-01
-1.36035e+00  -4.98291e-01
-1.34180e+00  -4.61670e-01
-1.37305e+00  -4.55200e-01
-1.33911e+00  -4.75220e-01
-1.37671e+00  -5.20264e-01
-1.36157e+00  -4.91455e-01
-1.38110e+00  -4.71069e-01
-1.38037e+00  -4.74243e-01
-1.36084e+00  -4.93652e-01
-1.37476e+00  -5.07202e-01
-1.36597e+00  -4.79004e-01
-1.36182e+00  -5.17944e-01
-1.34351e+00  -5.29419e-01
-1.37354e+00  -5.72388e-01
-1.38306e+00  -5.83008e-01
-1.37915e+00  -5.42603e-01
-1.34229e+00  -5.24048e-01
-1.37109e+00  -5.69946e-01
-1.40259e+00  -6.28418e-01
-1.35278e+00  -5.80200e-01
-1.35376e+00  -5.92773e-01
-1.38281e+00  -6.11572e-01
-1.34521e+00  -5.53467e-01
-1.40674e+00  -5.81665e-01
-1.40820e+00  -5.99365e-01
-1.38672e+00  -5.73120e-01
-1.36597e+00  -5.46387e-01
-1.40186e+00  -6.21094e-01
-1.39990e+00  -6.09863e-01
-1.39355e+00  -5.80933e-01
-1.34741e+00  -5.09888e-01
-1.33276e+00  -5.20020e-01
-1.39722e+00  -6.08276e-01
-1.35742e+00  -5.54565e-01
-1.39209e+00  -5.88501e-01
-1.38110e+00  -5.78003e-01
-1.34619e+00  -5.27466e-01
-1.35986e+00  -5.08789e-01
-1.33154e+00  -4.64233e-01
-1.36255e+00  -4.88770e-01
-1.35449e+00  -4.70459e-01
-1.37085e+00  -4.66064e-01
-1.39209e+00  -5.16724e-01
-1.39380e+00  -5.35034e-01
-1.38208e+00  -5.99365e-01
-1.36035e+00  -5.46265e-01
-1.38672e+00  -6.06567e-01
-1.42114e+00  -6.20728e-01
-1.38403e+00  -5.92285e-01
-1.38794e+00  -5.97534e-01
-1.38525e+00  -5.72632e-01
-1.36401e+00  -5.42480e-01
-1.41455e+00  -6.06567e-01
-1.37476e+00  -5.76172e-01
-1.40039e+00  -6.16577e-01
-1.39160e+00  -6.48560e-01
-1.41675e+00  -6.59790e-01
-1.42139e+00  -6.34888e-01
-1.39209e+00  -6.50146e-01
-1.39966e+00  -6.14380e-01
-1.36963e+00  -5.89600e-01
-1.39160e+00  -5.66895e-01
-1.34814e+00  -5.06714e-01
-1.37622e+00  -5.27954e-01
-1.38232e+00  -5.21362e-01
-1.38184e+00  -5.11230e-01
-1.33789e+00  -4.29199e-01
-1.30493e+00  -3.65601e-01
-1.30127e+00  -3.67310e-01
-1.30493e+00  -3.36426e-01
-1.34814e+00  -3.14941e-01
-1.34204e+00  -3.35327e-01
-1.33203e+00  -3.81958e-01
-1.35205e+00  -4.55811e-01
-1.37231e+00  -4.78149e-01
-1.36353e+00  -4.94995e-01
-1.36475e+00  -5.43213e-01
-1.35913e+00  -4.93652e-01
-1.36182e+00  -4.63989e-01
-1.36035e+00  -4.30420e-01
-1.34766e+00  -4.17114e-01
-1.34937e+00  -3.44971e-01
-1.33716e+00  -3.10669e-01
-1.32861e+00  -3.24341e-01
-1.35229e+00  -3.79883e-01
-1.37256e+00  -3.73047e-01
-1.32544e+00  -3.47534e-01
-1.36499e+00  -3.68164e-01
-1.34766e+00  -4.01733e-01
-1.33789e+00  -3.98315e-01
-1.36035e+00  -4.40063e-01
-1.36548e+00  -4.44946e-01
-1.36401e+00  -4.52881e-01
-1.37622e+00  -4.48730e-01
-1.36060e+00  -4.00269e-01
-1.35010e+00  -4.75098e-01
-1.37012e+00  -4.86328e-01
-1.33301e+00  -4.60327e-01
-1.32910e+00  -4.85962e-01
-1.34546e+00  -4.21753e-01
-1.36108e+00  -3.81836e-01
-1.33398e+00  -4.07349e-01
-1.32837e+00  -4.12964e-01
-1.34106e+00  -3.77075e-01
-1.35498e+00  -3.75488e-01
-1.37280e+00  -3.96484e-01
-1.34155e+00  -3.76221e-01
-1.35718e+00  -3.23242e-01
-1.32764e+00  -2.89062e-01
-1.33081e+00  -3.41553e-01
-1.33057e+00  -3.19824e-01
-1.33545e+00  -3.10791e-01
-1.32715e+00  -3.31299e-01
-1.36792e+00  -3.89526e-01
-1.35645e+00  -3.55713e-01
-1.33838e+00  -3.16650e-01
-1.33569e+00  -2.91992e-01
-1.31396e+00  -2.85034e-01
-1.34717e+00  -2.62207e-01
-1.33179e+00  -2.62695e-01
-1.32715e+00  -2.70874e-01
-1.36523e+00  -2.64771e-01
