T=2.20000e+00  B=0.00000e+00  ns=40000  E_exact=-1.54649e+00  M_exact=7.84755e-01
     E           M        
--------------------------
-1.53990e+00  7.62350e-01
-1.55390e+00  7.73800e-01
-1.55250e+00  7.89250e-01
-1.54390e+00  7.85200e-01
-1.55760e+00  7.94350e-01
-1.52730e+00  7.62550e-01
-1.56190e+00  7.93050e-01
-1.55900e+00  7.91100e-01
-1.55430e+00  7.81700e-01
-1.56270e+00  7.88250e-01
-1.58090e+00  8.06450e-01
-1.54230e+00  7.75750e-01
-1.55950e+00  7.91750e-01
-1.56240e+00  7.87500e-01
-1.56700e+00  7.82800e-01
-1.55250e+00  7.55900e-01
-1.54910e+00  7.60400e-01
-1.54270e+00  7.72250e-01
-1.55470e+00  7.78850e-01
-1.53720e+00  7.75950e-01
-1.55770e+00  7.97700e-01
-1.56230e+00  8.03200e-01
-1.57000e+00  8.08150e-01
-1.56230e+00  8.04100e-01
-1.55420e+00  7.85800e-01
-1.56540e+00  8.05250e-01
-1.56880e+00  7.97900e-01
-1.57180e+00  8.07950e-01
-1.55760e+00  7.89850e-01
-1.55710e+00  7.81100e-01
-1.54590e+00  7.61850e-01
-1.54310e+00  7.74050e-01
-1.54580e+00  7.74300e-01
-1.54010e+00  7.60950e-01
-1.54130e+00  7.58850e-01
-1.56070e+00  7.95350e-01
-1.57150e+00  7.95200e-01
-1.55140e+00  7.65900e-01
-1.53040e+00  7.44600e-01
-1.56470e+00  7.60450e-01
-1.56820e+00  7.72900e-01
-1.55230e+00  7.65550e-01
-1.55550e+00  7.70500e-01
-1.55710e+00  7.82900e-01
-1.54440e+00  7.69650e-01
-1.54870e+00  7.81300e-01
-1.56180e+00  7.77150e-01
-1.54590e+00  7.82150e-01
-1.54240e+00  7.72800e-01
-1.52580e+00  7.50350e-01
-1.53820e+00  7.71000e-01
-1.53960e+00  7.64150e-01
-1.55590e+00  7.74050e-01
-1.56790e+00  7.88750e-01
-1.55430e+00  7.70450e-01
-1.53930e+00  7.68750e-01
-1.55620e+00  7.75650e-01
-1.54510e+00  7.57100e-01
