T=2.30000e+00  B=0.00000e+00  ns=40000  E_exact=-1.34287e+00  M_exact=0.00000e+00
     E           M        
--------------------------
-1.36990e+00  2.50200e-01
-1.38300e+00  2.25950e-01
-1.38620e+00  2.26550e-01
-1.37770e+00  2.12400e-01
-1.38070e+00  2.31150e-01
-1.35490e+00  2.44850e-01
-1.35910e+00  2.53200e-01
-1.35340e+00  2.57500e-01
-1.36730e+00  2.61200e-01
-1.34450e+00  2.62500e-01
-1.36560e+00  2.50650e-01
-1.37260e+00  2.56500e-01
-1.36190e+00  2.76200e-01
-1.35900e+00  2.80250e-01
-1.38720e+00  2.63750e-01
-1.34340e+00  2.02900e-01
-1.35500e+00  1.83800e-01
-1.34890e+00  2.41600e-01
-1.35880e+00  2.82300e-01
-1.35680e+00  2.58850e-01
-1.35990e+00  2.89900e-01
-1.35090e+00  2.92100e-01
-1.35270e+00  3.01450e-01
-1.36950e+00  3.13050e-01
-1.36810e+00  3.15300e-01
-1.38150e+00  3.03550e-01
-1.37300e+00  3.42350e-01
-1.35080e+00  3.53450e-01
-1.34250e+00  3.22700e-01
-1.36080e+00  2.88450e-01
-1.36580e+00  3.33650e-01
-1.37190e+00  3.43900e-01
-1.34810e+00  3.27700e-01
-1.36170e+00  3.62100e-01
-1.35690e+00  3.67650e-01
-1.37170e+00  3.89800e-01
-1.36730e+00  3.86800e-01
-1.36760e+00  3.92850e-01
-1.37860e+00  4.13800e-01
-1.36880e+00  4.31700e-01
-1.38460e+00  4.67900e-01
-1.37840e+00  4.30900e-01
-1.39660e+00  4.14400e-01
-1.38280e+00  4.10550e-01
-1.36520e+00  3.70500e-01
-1.36490e+00  3.53400e-01
-1.39220e+00  3.78750e-01
-1.37280e+00  3.35750e-01
-1.35760e+00  3.22950e-01
-1.37540e+00  3.64200e-01
-1.36270e+00  3.75400e-01
-1.36420e+00  3.75800e-01
-1.38660e+00  3.94050e-01
-1.38390e+00  3.67700e-01
-1.37430e+00  3.37900e-01
-1.37670e+00  3.71900e-01
-1.39040e+00  3.83000e-01
-1.36720e+00  3.52150e-01
-1.35370e+00  3.44400e-01
-1.33910e+00  2.86050e-01
-1.36880e+00  2.62000e-01
-1.35200e+00  2.52150e-01
-1.34590e+00  2.85550e-01
-1.34780e+00  2.56250e-01
-1.37170e+00  2.28100e-01
-1.36000e+00  2.53150e-01
-1.35570e+00  2.57850e-01
-1.37270e+00  2.83500e-01
