threadsPerBlock,blocksPerGrid,Outime,gputime,Intime,gputime_tot,diff,cputime,savetime
2,10,6.81818,1089.41,56.0881,1152.31,1.78814e-07,431.025,0.374051
2,100,6.82333,125.814,56.1563,188.794,1.13249e-06,431.025,2.28305
2,1000,6.84115,38.3184,55.7825,100.942,1.90735e-05,431.038,4.27015
2,1000,6.8239,38.3306,55.8029,100.957,4.68493e-05,431.234,4.27145
2,10000,6.82339,32.2284,55.7877,94.8395,0.000432909,431.023,4.54477
2,100000,6.83901,32.2092,56.0684,95.1166,0.00222009,430.981,4.53108
8,10,6.82451,313.228,56.0148,376.067,5.96046e-08,431.034,1.14616
8,100,6.83782,32.1578,55.3019,94.2976,5.36442e-06,431.004,4.57068
8,1000,6.84045,10.9708,55.8999,73.7112,2.5928e-05,431.022,5.84744
8,1000,6.84576,10.947,55.5434,73.3361,5.96046e-06,431.045,5.87766
8,10000,6.84342,9.39043,56.2833,72.5172,0.000388563,431.022,5.94373
8,100000,6.84534,9.89571,55.8403,72.5813,0.00355327,431.14,5.9401
16,10,6.83056,161.367,56.047,224.245,5.96046e-08,431.073,1.92233
16,100,6.8391,16.1812,55.6763,78.6966,2.08616e-06,431.013,5.4769
16,1000,6.83069,5.59347,55.7362,68.1603,1.96695e-06,431.048,6.32402
16,1000,6.84285,5.58077,55.8927,68.3164,2.51532e-05,431.009,6.30902
16,10000,6.84304,4.81322,56.0358,67.6921,0.000424623,431.015,6.36728
16,100000,6.84442,4.73104,55.9368,67.5123,0.00453991,430.998,6.384
64,10,6.83942,40.3239,55.4034,102.567,0,431.032,4.20245
64,100,6.8408,4.41235,55.934,67.1872,8.9407e-07,431.014,6.41512
64,1000,6.84118,2.38614,56.7566,65.9839,2.09212e-05,430.981,6.5316
64,1000,6.8432,2.38202,55.8609,65.0861,2.58684e-05,430.992,6.62187
64,10000,6.84118,2.2881,55.9844,65.1136,0.0001688,431.004,6.61926
64,100000,6.84054,2.20038,55.6595,64.7004,0.00146359,431.032,6.66197
256,10,6.84288,10.1169,56.216,73.1757,4.76837e-07,431.002,5.88996
256,100,6.83965,2.24086,56.1968,65.2773,7.15256e-07,431.021,6.60292
256,1000,6.84166,2.27965,56.131,65.2523,7.689e-06,431.051,6.60592
256,1000,6.8503,2.2809,56.0415,65.1727,9.35793e-06,431.039,6.6138
256,10000,6.84218,2.22125,55.4899,64.5533,6.04987e-05,431.043,6.67733
256,100000,6.84362,3.2655,56.0213,66.1304,0.00499916,431.057,6.51829
1024,10,6.84115,2.99923,55.7853,65.6257,2.38419e-07,430.981,6.56726
1024,100,6.84342,2.24586,55.899,64.9883,2.14577e-06,431.021,6.63229
1024,1000,6.84022,2.26922,55.6981,64.8075,3.70145e-05,431.03,6.65092
1024,1000,6.83891,2.27018,56.0481,65.1572,6.55651e-07,431.008,6.6149
1024,10000,6.84074,2.65533,55.8837,65.3798,0.000142515,431.094,6.59369
1024,100000,6.84899,17.7644,55.8976,80.511,0.000217199,431.105,5.35461
