center number
0.106061 15655039 
0.318182 12664193 
0.530303 10245947 
0.742424 8285703 
0.954545 6704874 
1.166667 5419966 
1.378788 4388460 
1.590909 3543952 
1.803030 2869963 
2.015152 2321279 
2.227273 1877207 
2.439394 1518402 
2.651515 1228063 
2.863636 994008 
3.075758 804145 
3.287879 650734 
3.500000 524420 
3.712121 424411 
3.924242 344248 
4.136364 279292 
4.348485 225150 
4.560606 181321 
4.772727 146509 
4.984848 119309 
5.196970 96431 
5.409091 77820 
5.621212 62969 
5.833333 50995 
6.045455 40922 
6.257576 33394 
6.469697 26881 
6.681818 21572 
6.893939 92421 
