lattice_sizes,block sizes,gputime,gputime_tot,diff,cputime,savetime
32x32,4x4,58.3122,58.5868,0,10.5344,0.179808
32x32,8x8,57.7321,57.9953,0,10.5358,0.181667
32x32,16x16,58.6075,58.8695,0,10.5328,0.178918
32x32,32x32,56.6482,56.9106,0,10.5304,0.185035
64x64,4x4,219.736,220.031,5.82077e-11,162.635,0.739145
64x64,8x8,219.119,219.398,5.82077e-11,162.619,0.741205
64x64,16x16,213.774,214.049,5.82077e-11,162.632,0.759791
64x64,32x32,217.598,217.978,5.82077e-11,162.681,0.746317
128x128,4x4,865.603,865.97,0,2444.81,2.82321
128x128,8x8,793.396,793.732,0,2444.86,3.08021
128x128,16x16,773.469,773.802,0,2446.73,3.16196
128x128,32x32,759.541,759.879,0,2444.83,3.2174
256x256,4x4,5099.36,5099.89,5.82077e-11,35255.7,6.91303
256x256,8x8,3813.95,3814.49,5.82077e-11,35263.9,9.24472
256x256,16x16,3807.5,3808.04,5.82077e-11,35254.9,9.25802
256x256,32x32,3801.9,3802.44,5.82077e-11,35254.9,9.27166
