lattice_sizes,block sizes,gputime,gputime_tot,diff,cputime,savetime
32x32,4x4,75.4669,75.9395,0,477.408,6.2867
32x32,8x8,82.1287,82.5419,0,478.343,5.79516
32x32,16x16,0.02912,0.444224,0,478.258,1076.61
32x32,32x32,0.03776,0.455616,0,477.305,1047.6
64x64,4x4,764.966,766.784,5.37757e-11,14622.9,19.0704
64x64,8x8,746.02,747.807,5.37757e-11,14599.9,19.5237
64x64,16x16,0.037888,2.10522,5.37757e-11,14598.6,6934.51
64x64,32x32,0.037344,2.11651,5.37757e-11,14599.1,6897.71
128x128,4x4,16422.4,16430.1,5.82077e-11,498718,30.3539
128x128,8x8,15354.1,15361.7,5.82077e-11,473625,30.8316
128x128,16x16,0.039968,7.81018,5.82077e-11,473537,60630.7
128x128,32x32,0.041504,7.88112,5.82077e-11,473621,60095.6
256x256,4x4,462279,462329,5.82077e-11,1.47616e+07,31.9288
