threadsPerBlock,blocksPerGrid,Outime,gputime,Intime,gputime_tot,diff,cputime,savetime
2,10240000,28.9243,24.549,53.6072,107.081,0.0242313,57.1508,0.533718
2,10240000,28.0599,22.9693,53.4566,104.486,0.0243199,57.223,0.547663
2,10240000,28.5833,21.5338,55.5235,105.64,0.0242684,56.8334,0.537989
2,10240000,27.2267,21.5295,52.0422,100.798,0.0242123,56.8863,0.564357
2,10240000,29.1744,24.6849,52.3607,106.22,0.0242305,56.8912,0.535598
2,10240000,30.9895,23.414,53.3115,107.715,0.0242995,56.8553,0.527832
8,2560000,19.3025,7.04986,52.3877,78.74,4.06239e-05,56.6771,0.7198
8,2560000,14.8042,7.04778,52.6566,74.5086,6.79639e-05,57.0754,0.766023
8,2560000,14.7863,7.05152,52.8322,74.6701,2.38622e-06,57.5775,0.771092
8,2560000,14.5156,6.98595,52.598,74.0995,2.42617e-05,56.9663,0.768782
8,2560000,14.5798,6.98835,53.7016,75.2698,9.43893e-05,56.777,0.754313
8,2560000,14.4626,6.98544,52.5258,73.9739,3.57406e-06,57.2665,0.774145
16,1280000,12.3367,3.94701,52.2323,68.516,6.85892e-07,57.7041,0.842199
16,1280000,12.3197,3.9481,52.3133,68.5812,2.01117e-05,56.8481,0.828918
16,1280000,12.3604,3.94086,52.4637,68.7649,4.5016e-05,57.2952,0.833203
16,1280000,12.3087,3.94445,49.0759,65.3291,5.55651e-06,57.0172,0.87277
16,1280000,12.3896,3.94531,48.9724,65.3073,9.96482e-06,56.7713,0.869295
16,1280000,12.2079,3.94413,49.096,65.248,7.66224e-06,56.8257,0.870918
64,320000,10.9153,1.74259,52.059,64.717,9.69168e-07,57.2579,0.884743
64,320000,10.938,1.74262,57.8697,70.5504,5.16039e-06,57.2378,0.811304
64,320000,10.824,1.74099,29.1015,41.6664,6.20346e-06,57.0061,1.36815
64,320000,10.8345,1.74141,48.1913,60.7672,9.85995e-06,56.8621,0.935738
64,320000,10.9544,1.74384,58.3412,71.0395,3.19488e-06,56.7295,0.798563
64,320000,10.8421,1.74125,49.1535,61.7369,2.44649e-05,58.1875,0.942508
256,80000,15.0292,2.14128,48.9458,66.1162,1.52775e-05,57.2567,0.866001
256,80000,10.1448,2.14102,52.4926,64.7784,1.23699e-06,56.5481,0.872946
256,80000,15.0174,2.14186,49.4358,66.5951,1.40398e-06,56.6762,0.851056
256,80000,10.1467,2.14342,52.5823,64.8724,6.92078e-06,57.1545,0.881029
256,80000,10.1323,2.14288,52.2807,64.5559,8.17991e-06,56.6097,0.87691
256,80000,10.3388,2.14262,52.4001,64.8815,4.58803e-06,57.0073,0.878637
1024,20000,10.2112,3.08512,57.8461,71.1425,2.46833e-06,57.1986,0.804001
1024,20000,11.9639,3.65856,49.0017,64.6242,6.15172e-06,57.0431,0.88269
1024,20000,11.8139,3.65818,52.8087,68.2808,6.65105e-06,57.0789,0.835945
1024,20000,11.9175,3.65507,48.9571,64.5297,4.11117e-07,56.6072,0.877228
1024,20000,11.8114,3.65776,53.3371,68.8062,5.39087e-07,56.5809,0.822323
1024,20000,11.8596,3.65622,48.9867,64.5025,8.72284e-07,57.1118,0.88542
